"itemid","userid","creatorid","cname","ititle","iyear","itheme1","itheme2","itheme3","itheme4","itheme5","imood1","imood2","imood3","icontent_url","ctext","curl","item_text1","item_text2","item_text3","iadd_url_1","iadd_url_2","iadd_url_3","inum_words","inum_words_bin","inum_lines","inum_words_per_line","inum_words_per_line_bin","approved_by_admin","notify_by","is_admin","created_at","updated_at"
"51","66","17","William Shakespeare","Sonnet 73","1609","Love","Loss","Relationships",NULL,NULL,"Sunny","Gloomy",NULL,"https://www.gutenberg.org/","Project Gutenberg","https://www.gutenberg.org/","Sonnet 73 - Wikipedia","Shakespeare's sonnets - Wikipedia","William Shakespeare - Wikipedia","https://en.wikipedia.org/wiki/Sonnet_73","https://en.wikipedia.org/wiki/Shakespeare%27s_sonnets","https://en.wikipedia.org/wiki/Shakespeare%27s_sonnets","158","150-199","14","11.00","11-14","1","0","0","2022-10-09 19:46:55","2023-07-17 23:31:22"
"52","66","17","William Shakespeare","Sonnet 29","1609","Love",NULL,NULL,NULL,NULL,"Sunny",NULL,NULL,"https://www.gutenberg.org/","Project Gutenberg","https://www.gutenberg.org/","Sonnet 29 - Wikipedia","Shakespeare's sonnets - Wikipedia","William Shakespeare - Wikipedia","https://en.wikipedia.org/wiki/Sonnet_29","https://en.wikipedia.org/wiki/Shakespeare%27s_sonnets","https://en.wikipedia.org/wiki/Shakespeare%27s_sonnets","152","150-199","14","10.00","11-14","1","0","0","2022-10-09 20:01:07","2023-07-17 23:35:15"
"53","66","17","William Shakespeare","Sonnet 130","1609","Love",NULL,NULL,NULL,NULL,"Sunny",NULL,NULL,"https://www.gutenberg.org/","Project Gutenberg","https://www.gutenberg.org/","Sonnet 130 - Wikipedia","Shakespeare's sonnets - Wikipedia","William Shakespeare - Wikipedia","https://en.wikipedia.org/wiki/Sonnet_130","https://en.wikipedia.org/wiki/Shakespeare%27s_sonnets","https://en.wikipedia.org/wiki/Shakespeare%27s_sonnets","149","100-149","14","10.00","11-14","1","0","0","2022-10-09 20:07:02","2023-07-17 23:35:20"
"56","66","18","Emily Dickinson","Tell all the truth but tell it slant —","1914","Religion or Spirituality",NULL,NULL,NULL,NULL,"Reflection",NULL,NULL,"https://en.wikisource.org/wiki/Tell_all_the_Truth_but_tell_it_slant_%E2%80%94","Wikisource","https://en.wikisource.org/wiki/Tell_all_the_Truth_but_tell_it_slant_%E2%80%94","Emily Dickinson - Wikipedia",NULL,NULL,"https://en.wikipedia.org/wiki/Emily_Dickinson",NULL,NULL,"54","50-99","9","6.00","4-7","1","0","0","2022-10-09 22:11:06","2023-07-17 23:35:27"
"140","66","17","William Shakespeare","Sonnet 18","1609","Love",NULL,NULL,NULL,NULL,"Sunny","Reflective",NULL,"https://www.gutenberg.org/","Project Gutenberg","https://www.gutenberg.org/","Sonnet 18 - Wikipedia","Shakespeare's sonnets - Wikipedia","William Shakespeare - Wikipedia","https://en.wikipedia.org/wiki/Sonnet_18","https://en.wikipedia.org/wiki/Shakespeare%27s_sonnets","https://en.wikipedia.org/wiki/Shakespeare%27s_sonnets","135","100-149","1","135.00","20+","1","0","0","2022-12-03 14:12:33","2023-07-17 23:35:34"
"143","66","19","Edgar Allan Poe","Annabel Lee.","1849","Love","Loss","Relationships",NULL,NULL,"Gloomy",NULL,NULL,"https://www.gutenberg.org/","Project Gutenberg","https://www.gutenberg.org/","Annabel Lee - Wikipedia","The Philosophy of Composition - Edgar Allan Poe - Wikipedia","Edgar Allan Poe - Wikipedia","https://en.wikipedia.org/wiki/Annabel_Lee","https://en.wikipedia.org/wiki/The_Philosophy_of_Composition","https://en.wikipedia.org/wiki/Edgar_Allan_Poe","316","300-399","47","6.00","4-7","1","1","0","2022-12-04 13:38:10","2023-07-17 23:35:40"
"144","66","19","Edgar Allan Poe","The Raven","1845","Love","Loss","Religion or Spirituality",NULL,NULL,"Gloomy",NULL,NULL,"https://www.gutenberg.org/","Project Gutenberg","https://www.gutenberg.org/","The Raven - Wikipedia","Edgar Allan Poe - Wikipedia","The Raven - reading by Vincent Price","https://en.wikipedia.org/wiki/The_Raven","https://en.wikipedia.org/wiki/Edgar_Allan_Poe","https://www.youtube.com/watch?v=T7zR3IDEHrM","1245","1000-1999","69","18.00","15-19","1","3","0","2022-12-04 14:05:25","2023-07-17 23:35:46"
"166","66","62","Robert William Service","THE SPELL OF THE YUKON","1907","Religion or Spirituality","Society",NULL,NULL,NULL,"Sunny","Reflective",NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","Robert W. Service - Wikipedia","Robert Service and Destiny - Sam Holloway, The Yukoner Magazine","Creative Commons Attribution-ShareAlike License","https://en.wikipedia.org/wiki/Robert_W._Service#cite_note-holloway-10","http://www.yukoner.com/service.htm","https://creativecommons.org/licenses/by-sa/3.0/","667","600-999","90","7.00","8-10","1","3","0","2022-12-10 18:58:50","2023-07-17 23:35:57"
"171","66","63","Lord Byron (George Gordon Byron)","FARE THEE WELL.","1816","Loss","Love","Relationships",NULL,NULL,"Gloomy",NULL,NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","Fare Thee Well (poem) - Wikipedia","Lord Byron - Wikipedia",NULL,"https://en.wikipedia.org/wiki/Fare_Thee_Well_(poem)","https://en.wikipedia.org/wiki/Lord_Byron",NULL,"961","600-999","1","961.00","20+","1","3","0","2022-12-11 20:57:34","2023-07-17 23:36:00"
"175","66","62","Robert William Service","A Rolling Stone","1912","Religion or Spirituality",NULL,NULL,NULL,NULL,"Sunny",NULL,NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","Robert W. Service - Wikipedia","Robert Service and Destiny - Sam Holloway, The Yukoner Magazine",NULL,"https://en.wikipedia.org/wiki/Robert_W._Service","http://www.yukoner.com/service.htm",NULL,"625","600-999","1","625.00","20+","1","3","0","2022-12-11 21:49:04","2023-07-17 23:36:02"
"202","66","19","Edgar Allan Poe","A DREAM WITHIN A DREAM.","1849","Love","Loss","Religion or Spirituality",NULL,NULL,"Gloomy","Reflective",NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","A Dream Within a Dream - Wikipedia","Edgar Allan Poe - Wikipedia",NULL,"https://en.wikipedia.org/wiki/A_Dream_Within_a_Dream","https://en.wikipedia.org/wiki/Edgar_Allan_Poe",NULL,"181","150-199","27","6.00","4-7","1","3","0","2022-12-21 21:25:57","2023-07-17 23:12:50"
"203","66","60","John Keats","ODE TO A NIGHTINGALE.","1820","Religion or Spirituality","Loss","Love",NULL,NULL,"Gloomy","Reflective",NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","Ode to a Nightingale - Wikipedia","Negative capability - Wikipedia","John Keats - Wikipedia","https://en.wikipedia.org/wiki/Ode_to_a_Nightingale","https://en.wikipedia.org/wiki/Negative_capability","https://en.wikipedia.org/wiki/John_Keats","1195","1000-1999","1","1195.00","20+","1","3","0","2022-12-21 21:33:40","2023-07-17 23:36:07"
"204","66","64","Robert Herrick","To the Virgins, to Make Much of Time","1648","Loss",NULL,NULL,NULL,NULL,"Gloomy","Reflective",NULL,"https://en.wikipedia.org/wiki/Main_Page","Wikipedia","https://en.wikipedia.org/wiki/Main_Page","Poem page - Wikipedia","Carpe Diem - Wikipedia","Rober Herrick - Wikipedia","https://en.wikipedia.org/wiki/To_the_Virgins,_to_Make_Much_of_Time","https://en.wikipedia.org/wiki/Carpe_diem","https://en.wikipedia.org/wiki/Robert_Herrick_(poet)","153","150-199","19","8.00","8-10","1","3","1","2022-12-23 22:28:54","2023-07-17 23:36:13"
"205","66","62","Robert William Service","I’m Scared of it All","1912","Society",NULL,NULL,NULL,NULL,"Gloomy","Reflective",NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","Rhymes of a Rolling Stone  - Wikisource","Robert W. Service - Wikipedia",NULL,"https://en.wikisource.org/wiki/Rhymes_of_a_Rolling_Stone","https://en.wikipedia.org/wiki/Robert_W._Service",NULL,"637","600-999","70","9.00","8-10","1","3","1","2022-12-23 22:37:34","2023-07-17 23:36:19"
"206","66","62","Robert William Service","THE CREMATION OF SAM McGEE","1907","Loss","Relationships","Religion or Spirituality",NULL,NULL,"Sunny","Gloomy",NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","The Cremation of Sam McGee - Wikipedia","Songs of a Sourdough - Wikipedia","Robert W. Service - Wikipedia","https://en.wikipedia.org/wiki/The_Cremation_of_Sam_McGee","https://en.wikipedia.org/wiki/Songs_of_a_Sourdough","https://en.wikipedia.org/wiki/Robert_W._Service","1043","1000-1999","82","12.00","11-14","1","3","1","2022-12-23 22:43:55","2023-07-17 23:36:22"
"207","66","62","Robert William Service","THE SHOOTING OF DAN McGREW","1907","Love","Loss","Relationships",NULL,NULL,"Gloomy",NULL,NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","The Shooting of Dan McGrew - Wikipedia","Songs of a Sourdough - Wikipedia","Robert W. Service - Wikipedia","https://en.wikipedia.org/wiki/The_Shooting_of_Dan_McGrew","https://en.wikipedia.org/wiki/Songs_of_a_Sourdough","https://en.wikipedia.org/wiki/Robert_W._Service","968","600-999","67","14.00","15-19","1","3","1","2022-12-23 22:47:56","2023-07-17 23:36:26"
"208","66","61","Percy Bysshe Shelley","TO A SKYLARK.","1820","Religion or Spirituality",NULL,NULL,NULL,NULL,"Gloomy","Reflective",NULL,"https://www.gutenberg.org/","Project Gutenberg","https://www.gutenberg.org/","To a Skylark - Wikipedia","Prometheus Unbound - Wikipedia","Percy Bysshe Shelley - Wikipedia","https://en.wikipedia.org/wiki/To_a_Skylark","https://en.wikipedia.org/wiki/Prometheus_Unbound_(Shelley)","https://en.wikipedia.org/wiki/Percy_Bysshe_Shelley","764","600-999","125","6.00","4-7","1","3","1","2022-12-23 22:57:19","2023-07-17 23:36:32"
"209","66","88","William Blake","The Tyger.","1794","Religion or Spirituality",NULL,NULL,NULL,NULL,"Reflective",NULL,NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","The Tyger - Wikipedia","Songs of Innocence and of Experience - Wikipedia","William Blake - Wikipedia","https://en.wikipedia.org/wiki/The_Tyger","https://en.wikipedia.org/wiki/Songs_of_Innocence_and_of_Experience#Songs_of_Experience","https://en.wikipedia.org/wiki/William_Blake","174","150-199","29","6.00","4-7","1","3","1","2022-12-23 23:01:27","2023-07-17 23:45:49"
"210","66","18","Emily Dickinson","Untitled ('I'm Nobody! Who are you?')","1891","Society",NULL,NULL,NULL,NULL,"Reflective",NULL,NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","I'm Nobody! Who are you? - Wikipedia","Emily Dickinson - Wikipedia",NULL,"https://en.wikipedia.org/wiki/I%27m_Nobody!_Who_are_you%3F","https://en.wikipedia.org/wiki/Emily_Dickinson",NULL,"66","50-99","9","7.00","8-10","1","3","1","2022-12-24 19:01:30","2023-07-17 23:51:42"
"211","66","66","Ralph Waldo Emerson","THE BELL","1823","Religion or Spirituality","Society",NULL,NULL,NULL,"Sunny","Gloomy","Reflective","https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","Ralph Waldo Emerson - Wikipedia",NULL,NULL,"https://en.wikipedia.org/wiki/Ralph_Waldo_Emerson",NULL,NULL,"154","150-199","19","8.00","8-10","1","3","0","2022-12-24 19:08:36","2023-07-17 23:36:44"
"213","66","68","Walt Whitman","TO A STRANGER.","1882","Relationships","Loss",NULL,NULL,NULL,"Gloomy","Sunny",NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","Leaves of Grass - Wikipedia","Walt Whitman - Wikipedia",NULL,"https://en.wikipedia.org/wiki/Leaves_of_Grass","https://en.wikipedia.org/wiki/Walt_Whitman",NULL,"175","150-199","1","175.00","20+","1","3","0","2022-12-26 20:41:07","2023-07-17 23:36:47"
"216","66","71","Paul Laurence Dunbar","We Wear The Mask","1913","Society","Religion or Spirituality",NULL,NULL,NULL,"Gloomy",NULL,NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","We Wear the Mask - Wikipedia","Paul Laurence Dunbar  - Wikipedia",NULL,"https://en.wikipedia.org/wiki/We_Wear_the_Mask","https://en.wikipedia.org/wiki/Paul_Laurence_Dunbar",NULL,"115","100-149","1","115.00","20+","1","3","0","2022-12-28 21:02:54","2023-07-17 23:36:52"
"309","66","74","Louisa S. Bevington (Guggenberger)","Afternoon","1876","Society",NULL,NULL,NULL,NULL,"Reflective",NULL,NULL,"- not found online -","Key Notes (1876)","- not found online -","L. S. Bevington - Wikipedia",NULL,NULL,"https://en.wikipedia.org/wiki/L._S._Bevington",NULL,NULL,"239","200-249","48","4.00","4-7","1","3","0","2023-07-18 00:02:34","2023-07-18 00:51:14"
"310","66","102","William Wordsworth","I wandered lonely","1815","Religion or Spirituality",NULL,NULL,NULL,NULL,"Reflective","Sunny",NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","I Wandered Lonely as a Cloud - Wikipedia","Lyric poetry - Wikipedia","William Wordsworth - Wikipedia","https://en.wikipedia.org/wiki/I_Wandered_Lonely_as_a_Cloud","https://en.wikipedia.org/wiki/Lyric_poetry","https://en.wikipedia.org/wiki/William_Wordsworth","219","200-249","1","219.00","20+","1","3","0","2023-07-18 00:10:30","2023-07-18 00:51:13"
"311","66","73","John Addington Symonds","The Camera Obscura","1880","Religion or Spirituality",NULL,NULL,NULL,NULL,"Reflective",NULL,NULL,"- Not found on internet -","New and old : a volume of verse (1880)","- Not found on internet -","John Addington Symonds - Wikipedia",NULL,NULL,"https://en.wikipedia.org/wiki/John_Addington_Symonds#cite_note-9",NULL,NULL,"122","100-149","1","122.00","20+","1","3","0","2023-07-18 00:16:05","2023-07-18 00:51:13"
"312","66","66","Ralph Waldo Emerson","THE RHODORA: ON BEING ASKED, WHENCE IS THE FLOWER?","1847","Religion or Spirituality",NULL,NULL,NULL,NULL,"Reflective",NULL,NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","The Rhodora - Wikipedia","Nature (essay) - Wikipedia","Ralph Waldo Emerson  - Wikipedia","https://en.wikipedia.org/wiki/The_Rhodora","https://en.wikipedia.org/wiki/Nature_(essay)","https://en.wikipedia.org/wiki/Ralph_Waldo_Emerson","148","100-149","1","148.00","20+","1","3","0","2023-07-18 00:20:08","2023-07-18 00:51:12"
"313","66","70","William Butler Yeats","THE SECOND COMING","1920","Religion or Spirituality",NULL,NULL,NULL,NULL,"Gloomy",NULL,NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","The Second Coming - Wikipedia","Second Coming - Wikipedia","W. B. Yeats - Wikipedia","https://en.wikipedia.org/wiki/The_Second_Coming_(poem)","https://en.wikipedia.org/wiki/Second_Coming","https://en.wikipedia.org/wiki/W._B._Yeats","381","300-399","1","381.00","20+","1","3","0","2023-07-18 00:25:10","2023-07-18 00:51:12"
"314","66","76","Thomas Hardy","I LOOK INTO MY GLASS","1899","Loss",NULL,NULL,NULL,NULL,"Gloomy",NULL,NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","Wessex Poems and Other Verses - Wikipedia","Thomas Hardy - Wikipedia","The Thomas Hardy Society","https://en.wikipedia.org/wiki/Wessex_Poems_and_Other_Verses","https://en.wikipedia.org/wiki/Thomas_Hardy","https://www.hardysociety.org/","148","100-149","1","148.00","20+","1","3","0","2023-07-18 00:30:59","2023-07-18 00:51:11"
"315","66","117","Robert Seymour Bridges","Untitled (‘The evening darkens over’)","1890","Love","Loss",NULL,NULL,NULL,"Gloomy",NULL,NULL,"https://www.gutenberg.org/","Project Gutenberg","https://www.gutenberg.org/","Robert Seymour Bridges - My Poetic Side","Robert Bridges - Wikipedia",NULL,"https://mypoeticside.com/poets/robert-seymour-bridges-poems","https://en.wikipedia.org/wiki/Robert_Bridges",NULL,"94","50-99","1","94.00","20+","1","3","0","2023-07-18 00:37:31","2023-07-18 00:51:10"
"316","66","67","Samuel Taylor Coleridge","Work without Hope","1825","Religion or Spirituality","Society",NULL,NULL,NULL,"Gloomy",NULL,NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","Samuel Taylor Coleridge - Wikipedia",NULL,NULL,"https://en.wikipedia.org/wiki/Samuel_Taylor_Coleridge",NULL,NULL,"133","100-149","1","133.00","20+","1","3","0","2023-07-18 00:42:48","2023-07-18 00:51:10"
"317","66","118","Agnes Mary Frances Duclaux","Twilight","1902","Religion or Spirituality",NULL,NULL,NULL,NULL,"Reflective",NULL,NULL,"- No online source found -","The collected poems, lyrical and narrative, of A. Mary F. Robinson","- No online source found -","Agnes Mary Frances Duclaux - Wikipedia",NULL,NULL,"https://en.wikipedia.org/wiki/Agnes_Mary_Frances_Duclaux#List_of_Works",NULL,NULL,"259","250-299","1","259.00","20+","1","3","0","2023-07-18 00:50:46","2023-07-18 00:51:09"
"318","66","119","Mathilde Blind","THE RED SUNSETS, 1883. (version I)","1889","Religion or Spirituality","Society",NULL,NULL,NULL,"Gloomy",NULL,NULL,"https://en.wikisource.org/wiki/Main_Page","Wikisource","https://en.wikisource.org/wiki/Main_Page","Mathilde Blind - Wikipedia",NULL,NULL,"https://en.wikipedia.org/wiki/Mathilde_Blind",NULL,NULL,"158","150-199","1","158.00","20+","1","3","0","2023-07-18 00:59:17","2023-07-18 01:10:01"
"319","66","119","Mathilde Blind","THE RED SUNSETS, 1883. (version II)","1889","Religion or Spirituality","Society",NULL,NULL,NULL,"Gloomy",NULL,NULL,"Wikisource","1889","Wikisource","Mathilde Blind - Wikipedia",NULL,NULL,"https://en.wikipedia.org/wiki/Mathilde_Blind",NULL,NULL,"156","150-199","1","156.00","20+","1","3","0","2023-07-18 01:02:13","2023-07-18 01:10:01"
"321","66","121","William Renton","After Nightfall","1876","Religion or Spirituality",NULL,NULL,NULL,NULL,"Reflective",NULL,NULL,"- Not found online -","OILS AND WATERCOLOURS (1876)","- Not found online -","William Renton - Digital Victorian Periodical poetry","Wanderer's Nightsong - Goethe - Wikipedia",NULL,"https://dvpp.uvic.ca/prs_4022.html","https://en.wikipedia.org/wiki/Wanderer%27s_Nightsong",NULL,"52","50-99","1","52.00","20+","1","3","0","2023-07-18 01:14:22","2023-07-18 01:15:06"
